CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,757",-4,18,-,"6,595.00",-311.80,130,"6,549.75","6,592.20",130,"19,000.00",780,6.00,7.20,65,1.40,7.20,36.03,"1,413",519,"4,770",
,462,-3,7,-,"5,620.00",-472.65,65,"5,560.85","5,621.90",65,"20,000.00",65,9.40,9.50,65,1.75,9.50,31.66,"1,823",362,"9,685",
,"6,219",-83,176,-,"4,638.60",-333.55,65,"4,606.00","4,623.25",65,"21,000.00",130,14.30,14.50,65,3.65,13.50,27.55,"4,320",719,"12,116",
,"5,916",-27,115,-,"3,660.00",-337.95,65,"3,618.75","3,641.95",65,"22,000.00",325,23.00,24.95,585,11.35,24.95,24.38,"13,642",552,"15,589",
,"11,931",130,198,-,"2,657.75",-343.70,65,"2,649.40","2,666.90",65,"23,000.00",455,39.50,39.95,195,19.85,39.50,20.31,"13,006","2,202","28,477",
,7,1,3,-,"2,573.20",-326.80,65,"2,204.45","2,828.75","1,690","23,100.00",325,41.15,43.10,260,20.50,43.30,20.08,217,86,132,
,1,-,-,-,"2,172.25",-,780,"2,170.00","2,777.35","1,690","23,150.00","76,505",24.15,-,-,-,26.85,-,-,-,16,
,2,-,-,-,"2,775.30",-,65,"2,088.65","2,724.10","1,690","23,200.00","1,300",34.30,45.00,65,23.25,44.45,19.56,256,107,201,
,1,-,-,-,"2,084.45",-,65,"2,044.65","2,691.10","1,690","23,250.00","1,300",33.30,55.95,"1,690",17.00,44.00,19.20,648,325,336,
,3,-,-,-,"2,687.05",-,65,"2,004.10","2,639.25","1,690","23,300.00",65,35.00,48.50,65,25.95,47.90,19.25,"1,674",973,"1,472",
,1,-,-,-,"2,630.65",5.75,"1,170","1,962.40","2,571.40","1,690","23,350.00",780,37.00,59.10,"1,690",26.35,49.45,19.07,297,193,284,
,11,7,8,-,"2,275.00",-201.25,65,"1,947.05","2,500.45",65,"23,400.00",260,38.05,52.25,195,28.95,51.95,18.96,"5,534","3,282","3,615",
,3,-,-,-,"1,865.75",-,"1,040","1,896.90","2,468.80","1,690","23,450.00","4,615",37.85,-,-,13.55,37.25,17.29,133,53,119,
,120,15,19,-,"2,179.00",-327.60,65,"2,171.30","2,197.35",65,"23,500.00",585,52.20,53.90,650,27.20,52.70,18.38,"19,778","6,195","14,104",
