CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,1,-,"2,915.35",14.60,"1,690","2,364.55","3,139.95","1,690","23,100.00",65,40.20,40.50,65,1.45,39.95,16.65,302,180,505,
,2,-,2,-,"2,868.25",-128.55,"1,690","2,319.90","3,071.90","1,690","23,150.00",650,24.15,44.00,"1,690",1.30,39.55,16.39,5,1,10,
,2,-,2,-,"2,818.75",9.80,"1,690","2,276.90","3,034.55","1,690","23,200.00",65,38.00,41.00,260,-1.90,38.00,16.03,57,-1,115,
,2,-,1,-,"2,761.05",4.45,"1,170","2,254.10","2,987.15","1,690","23,250.00","1,300",23.00,-,-,-,43.55,-,-,-,16,
,2,-,2,-,"2,724.50",-129.65,"1,690","2,197.80","2,895.45","1,690","23,300.00","1,300",23.00,-,-,-1.10,41.00,15.83,7,-,36,
,3,-,-,-,"2,670.05",4.95,910,"2,166.65","2,824.90","1,690","23,350.00",260,23.10,-,-,-4.70,40.85,15.59,7,1,12,
,3,-,-,-,"2,621.05",6.60,260,"2,120.40","2,775.05","1,690","23,400.00",65,35.10,59.80,"1,690",-0.75,45.95,15.75,1,-,85,
,2,-,2,-,"2,581.00",7.30,650,"2,080.15","2,725.90","1,690","23,450.00",65,27.15,52.80,"1,690",-1.65,45.00,15.45,2,1,28,
,3,-,3,-,"2,524.30",0.80,65,"2,490.25","2,599.15",65,"23,500.00",585,46.00,50.00,65,0.70,49.55,15.54,"1,356",427,"1,323",
,2,-,2,-,"2,484.15",4.60,"1,365","1,996.05","2,621.85","1,690","23,550.00",260,28.10,-,-,-1.90,48.30,15.22,1,1,9,
,2,-,2,-,"2,437.85",-108.85,"1,690","1,911.05","2,573.75","1,690","23,600.00",910,32.25,-,-,1.10,52.90,15.30,1,-,21,
,2,-,2,-,"2,393.90",-130.05,910,"1,850.05","2,514.45","1,690","23,650.00",130,32.10,-,-,-2.00,51.90,14.99,1,-,12,
,2,-,2,-,"2,343.85",-130.00,"1,690","1,817.35","2,465.15","1,690","23,700.00",910,32.35,-,-,0.20,56.00,15.02,6,-6,28,
,2,-,2,-,"2,298.85",12.40,"1,170","1,774.90","2,431.75","1,690","23,750.00","1,300",32.00,69.35,"1,690",-2.30,55.75,14.77,6,-6,8,
