CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"18,000.00","5,265",1.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,000.00",130,36.10,97.00,130,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"22,500.00",65,61.00,-,-,23.55,96.10,16.64,1,1,1,
,-,-,-,-,-,-,-,-,-,-,"23,000.00",65,120.10,127.85,65,0.30,122.00,16.08,107,12,"4,031",
,-,-,-,-,-,-,-,-,-,-,"24,000.00",195,201.00,205.00,65,-5.45,201.00,15.08,217,115,"3,831",
,-,-,-,-,-,-,-,-,-,-,"25,000.00",975,345.70,347.75,65,-6.60,347.00,14.45,321,105,"3,223",
,122,2,34,-,"1,688.00",23.00,65,"1,601.10","1,669.80",65,"25,500.00",65,426.65,476.60,65,-7.70,473.30,14.53,11,4,26,
,"2,262",79,213,4.69,"1,349.85",-29.20,65,"1,339.85","1,350.00",65,"26,000.00",130,591.00,609.20,130,-7.20,600.25,14.22,366,90,"2,787",
,"3,449",168,609,7.33,805.90,-18.55,65,804.65,810.00,65,"27,000.00",65,"1,006.65","1,014.95",260,2.90,"1,014.95",14.63,219,59,"1,272",
,-,-,-,-,-,-,195,101.00,999.00,130,"28,500.00",-,-,-,-,-,-,-,-,-,-,
,"1,590",107,309,9.07,100.05,-5.20,65,99.85,105.00,65,"30,000.00",-,-,-,-,-,"2,600.00",-,-,-,1,
,-,-,-,-,-,-,65,25.00,-,-,"31,500.00",-,-,-,-,-,-,-,-,-,-,
,24,-3,10,11.80,25.00,-,130,20.50,36.95,130,"33,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,195,3.25,36.00,130,"34,500.00",-,-,-,-,-,-,-,-,-,-,
