CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"12,000.00",650,1.30,-,-,-,1.25,-,-,-,10,
,-,-,-,-,-,-,-,-,-,-,"13,000.00",650,3.15,20.05,520,-,20.05,-,-,-,38,
,-,-,-,-,-,-,-,-,-,-,"14,000.00",195,6.00,-,-,11.00,20.00,31.99,4,-,16,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",65,20.00,27.95,195,12.95,27.95,30.39,47,2,50,
,1,-,-,-,"6,200.00",-,-,-,-,-,"16,000.00",65,21.15,36.00,"1,040",4.05,36.00,28.55,162,24,90,
,-,-,-,-,-,-,-,-,-,-,"17,000.00",975,20.15,-,-,-,39.00,-,-,-,62,
,-,-,-,-,-,-,-,-,-,-,"18,000.00","2,470",20.65,-,-,-,51.50,-,-,-,179,
,53,-,-,-,"6,955.00",-,-,-,-,-,"19,000.00",65,64.00,69.70,130,8.60,69.70,23.02,38,-7,292,
,-,-,-,-,-,-,-,-,-,-,"19,500.00",130,6.25,-,-,-,-,-,-,-,-,
,15,-,-,-,"6,700.00",-,65,"5,971.55","6,999.85",65,"20,000.00",130,91.30,96.20,520,13.60,96.20,21.70,135,-18,"1,861",
,86,-,-,-,"5,950.00",-,65,"5,346.45","5,861.55",65,"21,000.00",260,112.25,120.00,130,16.35,117.00,19.85,254,-135,"1,222",
,122,1,1,-,"4,910.00",-344.40,455,"4,705.90",-,-,"22,000.00",650,151.20,157.45,65,24.65,154.60,18.37,409,-5,"3,784",
,-,-,-,-,-,-,-,-,-,-,"22,500.00",-,-,-,-,37.00,181.60,17.73,46,32,33,
,256,-1,2,-,"3,976.90",-380.55,65,"3,960.00","4,095.45",65,"23,000.00",650,215.35,220.00,65,36.60,220.00,17.24,860,243,"5,189",
,743,4,26,-,"3,150.00",-256.50,65,"3,085.30","3,140.50",65,"24,000.00",65,322.05,323.00,65,59.80,322.00,16.32,961,230,"6,691",
,"5,691",95,259,-,"2,380.00",-248.80,65,"2,343.75","2,360.00",325,"25,000.00",65,490.00,493.00,65,93.75,492.60,15.79,"1,616",2,"13,397",
,98,16,22,-,"2,020.00",-215.10,975,"1,972.50","2,055.00",65,"25,500.00",65,610.00,623.25,65,114.55,610.00,15.63,299,83,555,
,"5,485",145,627,5.09,"1,689.60",-220.45,65,"1,680.05","1,708.30",65,"26,000.00",195,742.05,742.70,325,125.70,741.35,15.41,"1,413",66,"17,354",
,"7,440",-112,834,7.39,"1,117.55",-168.20,65,"1,114.20","1,130.85",65,"27,000.00",65,"1,090.65","1,098.95",65,171.95,"1,098.60",15.33,893,12,"8,724",
,"12,139",-500,"2,128",8.02,675.00,-135.55,715,674.15,677.85,65,"28,000.00",65,"1,538.10","1,592.95",65,224.40,"1,590.00",15.70,308,-9,"9,152",
,227,-15,17,8.55,540.50,-74.15,65,510.15,530.75,65,"28,500.00",-,-,-,-,-,-,-,-,-,-,
,"7,976",-200,"1,333",8.45,384.25,-77.65,65,384.00,384.25,130,"29,000.00",65,"2,208.40","2,254.90",65,260.40,"2,231.00",16.72,124,85,"2,414",
,"5,358",37,970,9.00,220.70,-35.95,65,220.00,220.75,650,"30,000.00",325,"2,972.60","3,030.90",130,298.45,"3,001.05",18.42,231,195,"3,183",
,"2,630",-125,448,9.60,131.15,-12.65,65,126.55,131.20,520,"31,000.00",-,-,-,-,-,-,-,-,-,-,
,459,-13,68,11.05,57.70,-1.70,65,54.50,57.70,715,"33,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,12.60,333.05,65,"34,500.00",-,-,-,-,-,-,-,-,-,-,
