CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"8,690.00",-,-,-,-,-,"12,000.00",650,3.65,18.60,65,-,20.00,-,-,-,7,
,-,-,-,-,-,-,-,-,-,-,"13,000.00",650,4.15,-,-,-,3.10,-,-,-,5,
,-,-,-,-,-,-,-,-,-,-,"14,000.00",65,4.75,16.85,65,-,18.40,-,-,-,17,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",650,5.45,13.00,130,-,12.30,-,-,-,18,
,-,-,-,-,-,-,-,-,-,-,"16,000.00",650,11.05,15.00,65,2.05,14.75,35.35,17,13,70,
,3,-,-,-,"7,580.00",-,-,-,-,-,"18,000.00",65,12.00,33.00,65,-,14.00,27.61,1,1,2,
,2,-,-,-,"7,800.00",-,-,-,-,-,"19,000.00",520,27.85,29.20,130,5.05,29.00,26.81,144,14,"2,357",
,-,-,-,-,-,-,-,-,-,-,"19,500.00","1,755",5.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,000.00",65,34.60,37.90,195,6.90,35.60,23.96,161,41,"10,396",
,722,-2,15,-,"5,000.00",-270.95,65,"4,920.55","4,998.30",65,"21,000.00",65,45.70,49.00,650,8.85,44.35,21.17,838,8,"10,275",
,-,-,-,-,-,-,-,-,-,-,"22,000.00",130,61.10,61.50,845,15.15,61.60,18.75,"1,431",-34,"3,185",
,2,-,-,-,"3,257.30",2.15,-,-,-,-,"22,500.00",65,40.00,-,-,-,92.00,-,-,-,1,
,563,3,8,-,"3,124.30",-285.70,65,"3,063.85","3,130.00",65,"23,000.00",65,94.40,97.95,195,32.70,98.85,16.81,"2,203",-170,"11,059",
,"1,865",-8,174,-,"2,159.85",-356.25,65,"2,204.35","2,227.65",260,"24,000.00",130,173.65,177.25,195,56.50,177.25,15.31,"6,597","1,591","20,590",
,"4,314",144,577,6.06,"1,418.10",-256.85,65,"1,420.05","1,425.00",65,"25,000.00",65,338.10,342.50,65,95.55,340.00,14.27,"4,194",-75,"18,237",
,"1,894",34,363,8.19,"1,082.15",-208.65,65,"1,053.05","1,086.45",65,"25,500.00",130,466.45,470.95,65,123.00,466.80,13.83,"1,519",-30,"5,112",
,"12,050",173,"2,264",8.47,765.00,-192.65,195,764.05,768.25,65,"26,000.00",65,656.95,659.35,65,163.10,656.95,13.84,"3,991","-1,204","19,086",
,"27,422",407,"4,351",8.88,331.35,-109.00,65,330.65,332.00,65,"27,000.00",65,"1,182.15","1,192.95",65,240.15,"1,184.40",14.18,"1,330",-77,"24,386",
,"23,567",266,"6,054",9.18,119.00,-40.85,390,119.00,119.85,260,"28,000.00",65,"1,924.55","1,958.65",65,306.65,"1,935.75",15.87,455,17,"11,024",
,-,-,-,-,-,-,65,72.90,-,-,"28,500.00",-,-,-,-,-,-,-,-,-,-,
,"6,284",-82,"2,209",9.96,46.50,-9.50,130,45.20,46.50,195,"29,000.00",65,"2,821.55","2,857.10",65,352.60,"2,851.90",19.28,52,-4,761,
,"4,317",-123,"1,438",11.39,26.50,-1.50,455,27.00,29.00,195,"30,000.00",130,"3,764.15","3,804.30",65,330.45,"3,750.00",21.60,11,-2,"1,236",
,752,5,69,12.95,18.45,0.35,65,16.20,18.45,260,"31,000.00",-,-,-,-,-,-,-,-,-,-,
,4,-,-,-,18.55,-,65,13.95,22.00,65,"31,500.00",-,-,-,-,-,-,-,-,-,-,
,229,11,26,15.55,9.25,0.40,260,9.00,9.25,65,"33,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"3,900",3.30,-,-,"34,500.00",-,-,-,-,-,-,-,-,-,-,
