CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,755",1,27,-,"6,780.05",18.75,65,"6,746.95","6,795.45",65,"19,000.00",325,6.85,7.55,845,-0.30,7.55,34.73,275,-145,"3,864",
,466,7,20,-,"5,788.20",18.20,65,"5,764.80","5,833.30",130,"20,000.00",130,8.80,9.00,"6,565",-0.40,9.00,30.30,"1,084",398,"9,008",
,"6,603",54,107,-,"4,810.30",16.50,65,"4,792.40","4,826.10",65,"21,000.00",455,10.80,11.85,195,-0.25,11.00,25.99,"2,249",131,"11,245",
,"6,025",17,136,-,"3,847.55",4.40,65,"3,830.70","3,857.30",65,"22,000.00","8,775",16.25,18.15,520,-0.05,16.10,22.26,"3,604",249,"14,093",
,"11,724",-39,158,-,"2,869.90",9.95,65,"2,854.65","2,874.50",65,"23,000.00",65,24.30,24.95,260,1.20,25.00,18.55,"5,818",671,"25,619",
,5,-,-,-,"2,772.85",5.80,"1,235","2,390.95","2,877.10","1,690","23,100.00",520,22.65,27.00,195,2.80,27.00,18.27,20,-2,57,
,1,-,-,-,"2,172.25",-,"1,235","2,343.40","2,848.05","1,690","23,150.00",130,19.50,31.45,65,-,26.85,-,-,-,16,
,2,-,-,-,"2,775.30",-,"1,235","2,297.95","2,782.85","1,690","23,200.00",325,23.85,27.00,130,1.55,27.00,17.73,26,-1,110,
,1,-,-,-,"2,084.45",-,"1,235","2,250.15","2,745.70","1,690","23,250.00",195,22.10,34.90,65,0.45,62.30,-,-,-,39,
,3,-,-,-,"2,036.45",6.10,"1,235","2,215.55","2,677.50","1,690","23,300.00",390,25.35,30.00,585,-0.75,26.75,17.16,72,-19,764,
,1,-,-,-,"2,630.65",5.75,"1,170","2,169.85","2,650.75","1,690","23,350.00",130,22.10,30.00,195,-9.10,22.10,16.30,42,23,109,
,4,-,-,-,"2,481.60",5.35,"1,235","2,123.35","2,596.35","1,690","23,400.00",650,26.15,34.50,325,0.25,28.75,16.86,79,9,316,
,3,-,-,-,"1,865.75",-,"1,170","2,077.00","2,540.05","1,690","23,450.00","1,300",24.10,34.95,"1,690",-3.35,29.50,16.67,31,4,68,
,105,32,44,-,"2,355.00",-19.00,65,"2,365.20","2,396.50",65,"23,500.00",130,29.50,31.90,195,1.65,31.80,16.64,"4,506",495,"6,607",
,3,-,-,-,"1,776.15",-,"1,170","1,983.60","2,428.70","1,690","23,550.00",650,26.55,-,-,0.50,32.45,16.43,33,-14,94,
,7,-,2,-,"2,294.85",14.00,"1,430","1,936.85","2,378.15","1,690","23,600.00",325,33.60,-,-,1.45,33.55,16.27,267,10,521,
,2,-,-,-,"2,343.75",4.70,"1,560","1,892.75","2,327.80","1,690","23,650.00",650,25.65,-,-,1.50,34.85,16.12,20,-11,107,
,18,-,-,-,"2,182.25",-0.35,"1,170","1,851.00","2,283.05","1,690","23,700.00",130,35.75,-,-,1.40,36.85,16.02,222,68,876,
,1,-,-,-,"1,632.05",4.35,"1,235","1,806.85","2,247.05","1,690","23,750.00","1,300",27.25,42.95,"1,690",-0.45,37.45,15.80,129,-2,"1,199",
,24,-,-,-,"2,084.25",-,"1,235","1,765.25","2,202.35","1,690","23,800.00",325,35.05,40.05,130,2.15,40.05,15.74,721,-62,891,
,2,-,-,-,"1,537.55",0.80,"1,560","1,720.10","2,136.15","1,690","23,850.00",780,25.00,51.05,"1,690",-0.15,41.30,15.56,31,1,190,
,20,-,2,-,"2,011.90",1.45,"1,430","1,675.30","2,047.40",130,"23,900.00",390,40.00,45.00,65,1.95,43.50,15.45,496,42,978,
,2,-,-,-,"2,060.35",-,"1,235","1,596.40","2,037.05","1,690","23,950.00",650,36.65,57.45,"1,690",-2.20,42.80,15.10,42,4,247,
,"5,696",16,546,-,"1,902.75",-7.00,65,"1,896.90","1,913.40",325,"24,000.00",195,47.10,48.20,325,1.30,47.50,15.18,"17,640","2,066","50,591",
,1,-,-,-,"1,955.30",-,"1,235","1,511.35","1,935.90","1,690","24,050.00",910,25.15,-,-,-2.60,47.25,14.86,28,-,207,
,17,2,2,-,"1,710.00",-107.60,65,"1,619.80","1,928.40","1,690","24,100.00",130,49.50,54.50,130,1.25,51.90,14.90,796,53,"1,776",
,3,-,-,-,"1,873.65",5.00,"1,235","1,421.95","1,912.55",325,"24,150.00",910,20.35,63.75,650,-0.60,52.70,14.66,35,-1,109,
,38,25,168,-,"1,746.75",20.20,65,"1,706.45","1,734.95",130,"24,200.00",65,56.00,56.25,65,0.25,56.15,14.59,"2,982",168,"2,902",
,2,-,2,-,"1,680.15",-8.20,"1,690","1,292.80","1,766.65","1,690","24,250.00",65,58.25,59.90,65,-2.90,57.95,14.40,72,-2,105,
,19,-,4,-,"1,626.30",6.30,65,"1,289.75","1,687.50",65,"24,300.00",65,60.35,62.00,"2,665",-0.50,62.10,14.35,"1,594",37,"2,024",
,4,-,-,-,"1,699.35",5.25,910,"1,202.70","1,646.80","1,690","24,350.00",65,64.95,66.75,65,-4.40,62.80,14.08,166,69,155,
,159,-1,6,-,"1,452.00",-124.75,65,"1,437.30","1,598.65",65,"24,400.00",65,69.50,70.50,260,-0.60,70.00,14.18,945,151,"1,838",
,8,-,-,-,"1,589.80",-,65,"1,117.70","1,555.05","1,690","24,450.00",65,69.10,74.65,65,-4.05,72.00,13.97,91,41,220,
,"1,816",20,324,-,"1,445.00",-,65,"1,436.40","1,452.30",65,"24,500.00",65,78.15,78.60,65,-1.00,79.05,14.03,"8,056",678,"24,493",
,10,-1,1,-,"1,400.75",6.90,650,"1,031.00","1,517.15",195,"24,550.00",65,81.05,83.65,65,-0.40,82.50,13.88,173,15,195,
,270,-7,8,-,"1,373.85",30.80,130,"1,339.05","1,381.65",65,"24,600.00",65,86.30,86.90,65,-2.40,86.30,13.73,"1,819",433,"9,118",
,10,-,2,-,"1,322.60",15.90,650,859.70,"1,398.85","1,690","24,650.00",65,90.95,93.60,65,-3.00,92.50,13.69,230,1,193,
,358,-8,18,-,"1,258.30",-36.70,65,"1,200.15","1,293.60",65,"24,700.00",260,98.20,98.80,65,-3.15,98.20,13.61,"1,315",134,"3,453",
,14,-1,3,-,"1,222.20",10.65,325,797.35,"1,305.90","1,690","24,750.00",65,102.85,106.20,65,-2.10,105.40,13.58,276,18,178,
,709,-34,234,-,"1,170.80",-4.20,260,"1,174.45","1,206.70",65,"24,800.00",65,111.60,112.00,195,-2.20,112.65,13.54,"4,541",231,"5,513",
,20,1,4,-,"1,049.75",-84.90,325,743.05,"1,209.70","1,690","24,850.00",65,115.35,119.85,65,-5.75,116.55,13.34,116,-18,188,
,288,-15,38,-,"1,089.00",-4.80,65,"1,079.20","1,149.55",65,"24,900.00",65,123.90,126.10,65,-5.75,125.00,13.32,"1,724",336,"3,691",
,16,-,4,-,"1,057.40",3.30,65,"1,034.60","1,128.95","1,690","24,950.00",65,132.05,135.55,65,-6.25,132.25,13.23,126,5,261,
,"12,692",121,"1,872",-,"1,020.00",-8.65,65,"1,009.10","1,020.00",65,"25,000.00","1,950",143.65,144.00,260,-5.55,144.00,13.29,"18,090",904,"67,497",
,40,-,2,-,973.90,0.20,65,952.95,"1,033.30",390,"25,050.00",65,149.15,153.50,65,-7.90,149.10,13.09,114,31,331,
,319,1,85,-,943.15,0.70,65,924.65,953.65,65,"25,100.00","1,495",160.75,162.00,65,-6.60,160.75,13.11,"2,044",154,"3,285",
,54,1,5,-,859.00,-33.75,65,793.35,942.10,65,"25,150.00",65,168.00,172.65,65,-8.10,168.75,12.98,119,33,222,
,"2,088",10,308,5.16,858.55,-10.90,65,846.45,868.85,65,"25,200.00",65,178.05,180.15,65,-10.95,179.30,12.93,"3,518",690,"6,530",
,99,-3,3,5.46,814.95,-26.85,65,719.85,855.10,65,"25,250.00",65,188.90,195.40,65,-6.15,191.55,12.91,234,36,293,
,956,-17,274,6.27,781.60,-13.40,65,770.15,789.00,195,"25,300.00",65,200.65,203.75,65,-12.50,202.65,12.84,"2,410",36,"3,742",
,91,-1,6,6.56,743.80,-0.50,130,731.40,771.45,65,"25,350.00",65,213.20,220.35,65,-11.65,217.65,12.87,146,38,267,
,"2,384",76,"1,071",6.91,709.50,-12.90,65,703.05,718.05,65,"25,400.00",130,225.85,233.40,65,-13.40,231.70,12.85,"3,589",168,"4,830",
,170,13,33,7.65,688.15,-5.15,65,663.95,688.05,65,"25,450.00",65,241.45,248.20,65,-13.35,244.55,12.77,127,-16,133,
,"14,560",535,"6,594",7.41,643.00,-15.05,65,642.05,643.75,65,"25,500.00",845,260.00,262.75,65,-11.95,262.05,12.81,"15,944",903,"21,543",
,138,-4,323,7.43,605.80,-13.05,65,596.55,618.40,65,"25,550.00",65,271.35,279.45,65,-14.70,274.75,12.69,365,-18,136,
,"2,494",293,"2,366",7.69,577.00,-11.50,65,573.05,580.00,"1,365","25,600.00",65,288.80,292.10,65,-13.20,290.95,12.65,"3,531",361,"3,123",
,185,-,154,7.90,548.80,-17.05,65,540.55,558.80,65,"25,650.00",390,308.60,314.45,65,-10.00,310.40,12.69,366,18,294,
,"1,946",272,"1,909",7.90,515.15,-15.20,260,514.00,515.15,65,"25,700.00",130,327.85,328.95,260,-13.00,328.00,12.65,"2,679",-300,"2,413",
,311,-2,251,8.03,486.75,-12.15,65,475.80,498.10,65,"25,750.00",65,346.70,352.35,65,-15.45,346.70,12.62,187,10,322,
,"3,305",395,"4,332",8.07,457.00,-17.75,65,450.25,457.00,65,"25,800.00",390,366.00,371.60,65,-11.35,368.90,12.66,"3,532",854,"4,786",
,576,24,203,8.08,427.20,-14.05,65,423.00,435.85,65,"25,850.00",65,383.70,398.85,65,-14.00,391.00,12.68,222,37,293,
,"1,785",-,"2,416",8.20,402.60,-18.05,65,396.60,408.10,65,"25,900.00",65,406.25,415.00,65,-12.95,413.75,12.70,"1,039",-75,914,
,220,11,112,8.23,376.10,-10.60,65,365.50,381.65,65,"25,950.00",65,420.05,443.25,65,-8.80,432.20,12.58,54,-2,109,
,"44,639",-338,"24,468",8.30,352.50,-19.20,130,352.50,353.75,130,"26,000.00",130,461.10,466.00,65,-11.85,464.00,12.79,"12,518",72,"40,186",
