CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"2,866.00",-,"1,690","2,128.80","2,640.70","1,690","23,100.00","23,920",1.75,1.80,"2,665",0.05,1.75,37.36,"2,05,721","20,219","86,566",
,1,-,-,-,"2,811.30",-,780,"2,235.70","2,494.90","1,690","23,150.00","1,300",1.70,1.85,"4,355",-0.05,1.85,36.86,"42,652","3,128","7,329",
,5,-,-,-,"2,642.00",-,390,"2,195.20","2,311.15",390,"23,200.00","5,460",1.90,1.95,65,0.05,1.90,36.24,"68,287","1,127","15,258",
,4,-,-,-,"2,468.45",-,780,"2,134.85","2,267.20",390,"23,250.00","1,755",1.85,1.95,65,0.10,1.95,35.61,"30,278","1,402","2,215",
,9,-1,4,37.84,"2,200.40",-319.55,65,"2,099.90","2,164.00",65,"23,300.00","4,615",1.95,2.05,"5,330",0.15,2.05,35.07,"63,450",570,"7,477",
,3,-,-,-,"2,608.85",-,390,"2,049.10","2,161.35",390,"23,350.00","7,085",2.00,2.10,"1,625",0.15,2.15,34.53,"33,223",511,"2,445",
,10,-1,1,66.39,"2,185.00",-382.95,65,"1,990.30","2,095.95",260,"23,400.00","1,105",2.15,2.20,"3,575",0.15,2.15,33.78,"55,634",-745,"4,135",
,3,1,2,53.96,"2,088.80",-404.95,65,"1,917.65","2,051.80",65,"23,450.00",650,2.15,2.20,"1,820",0.10,2.15,33.04,"39,097",642,"2,702",
,83,2,22,30.10,"1,998.00",-334.55,130,"1,909.05","1,961.05",65,"23,500.00","5,915",2.15,2.25,"1,950",0.30,2.25,32.47,"2,02,780","12,613","42,726",
,3,-,-,-,"2,388.05",-6.10,390,"1,855.95","1,962.85",390,"23,550.00","3,770",2.25,2.35,"14,430",0.30,2.40,31.98,"44,680","1,135","3,673",
,12,-3,3,-,"1,865.00",-502.00,65,"1,810.40","1,862.75",65,"23,600.00","4,485",2.35,2.40,520,0.40,2.40,31.22,"88,258",473,"7,949",
,4,-,-,-,"2,317.30",-,390,"1,759.90","1,861.50",390,"23,650.00","5,850",2.40,2.55,325,0.40,2.55,30.70,"56,795",-65,"3,209",
,7,-4,4,52.61,"1,855.00",-385.00,65,"1,705.35","1,764.60",65,"23,700.00","2,340",2.50,2.60,"1,755",0.40,2.50,29.87,"93,246","2,274","11,438",
,3,-,-,-,"2,191.50",-4.70,390,"1,652.30","1,762.20",390,"23,750.00","2,080",2.60,2.70,"2,470",0.45,2.65,29.33,"44,572",150,"3,315",
,10,-3,3,52.52,"1,765.00",-396.05,65,"1,618.45","1,665.25",65,"23,800.00","2,145",2.75,2.85,325,0.60,2.85,28.84,"1,27,293","-2,590","17,191",
,3,-,-,-,"2,116.75",-3.30,390,"1,554.85","1,662.25",390,"23,850.00",65,2.85,2.95,455,0.55,2.95,28.20,"80,859",592,"3,287",
,10,-3,3,53.13,"1,680.00",-392.80,65,"1,533.85","1,565.55",65,"23,900.00",325,3.00,3.05,"1,755",0.75,3.10,27.61,"84,076",-774,"7,195",
,3,-,-,-,"2,012.60",-4.30,390,"1,454.25","1,562.45",390,"23,950.00","2,340",3.05,3.20,390,0.60,3.10,26.83,"72,192",-126,"2,203",
,568,141,400,-,"1,460.00",-367.65,65,"1,452.15","1,460.55",65,"24,000.00",520,3.35,3.45,585,0.95,3.45,26.44,"5,29,294","22,854","1,11,383",
,3,-,-,-,"1,915.65",-4.20,390,"1,363.10","1,462.60",390,"24,050.00","1,755",3.20,3.45,"2,730",0.75,3.45,25.65,"71,790","1,705","4,068",
,18,-2,8,48.17,"1,480.00",-376.50,65,"1,323.20","1,365.85",65,"24,100.00","5,395",3.45,3.55,"1,560",0.85,3.50,24.92,"1,25,236","3,314","13,156",
,5,-,-,-,"1,825.65",-2.20,390,"1,263.75","1,362.35",390,"24,150.00","2,535",3.65,3.70,65,0.85,3.65,24.27,"72,736",49,"1,874",
,18,4,15,-,"1,251.65",-448.60,65,"1,251.10","1,264.50",65,"24,200.00","1,300",3.70,3.90,"1,755",0.85,3.70,23.52,"1,83,376","5,123","24,835",
,6,-,-,-,"1,712.05",-,390,"1,155.85","1,285.50",780,"24,250.00","2,080",3.95,4.05,"1,755",0.95,3.95,22.94,"66,505",672,"3,626",
,13,-3,10,36.71,"1,245.70",-282.95,65,"1,153.35","1,166.75",130,"24,300.00","1,560",4.20,4.30,65,1.15,4.20,22.34,"2,37,112","10,960","38,412",
,7,-,-,-,"1,627.35",-,390,"1,056.70","1,163.45",390,"24,350.00","1,365",4.50,4.55,65,1.30,4.60,21.83,"82,696","1,013","5,094",
,52,-1,7,26.72,"1,115.00",-476.35,65,"1,054.40","1,063.15",65,"24,400.00","1,560",4.65,4.85,195,1.25,4.65,21.04,"2,29,733","3,970","23,616",
,7,-,-,-,"1,558.00",-,390,958.20,"1,071.25",390,"24,450.00","1,690",5.15,5.25,"1,755",1.55,5.15,20.54,"2,00,143","1,094","6,280",
,724,-43,508,-,957.75,-377.80,65,957.05,964.15,455,"24,500.00","18,330",5.60,5.70,"1,755",1.90,5.75,20.06,"8,33,716","-14,129","1,16,570",
,22,-1,4,31.15,997.30,-427.15,65,904.95,917.85,195,"24,550.00",650,5.95,6.10,"1,040",2.00,6.00,19.34,"2,86,344","6,059","9,646",
