Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),date,open,high,low,close,volume
03-Dec-2025,26004.9,26066.45,25891.0,25986.0,265660108.0,25320.85,,,,,,
04-Dec-2025,25981.85,26098.25,25938.95,26033.75,248099545.0,26377.76,,,,,,
05-Dec-2025,25999.8,26202.6,25985.35,26186.45,249254405.0,27491.07,,,,,,
08-Dec-2025,26159.8,26178.7,25892.25,25960.55,320729920.0,31677.57,,,,,,
09-Dec-2025,25867.1,25923.65,25728.0,25839.65,275978160.0,29894.41,,,,,,
10-Dec-2025,25864.05,25947.65,25734.55,25758.0,207944446.0,21975.7,,,,,,
11-Dec-2025,25771.4,25922.8,25693.25,25898.55,206099631.0,20145.19,,,,,,
12-Dec-2025,25971.2,26057.6,25938.45,26046.95,216344338.0,19484.07,,,,,,
15-Dec-2025,25930.05,26047.15,25904.75,26027.3,181557703.0,17444.03,,,,,,
16-Dec-2025,25951.5,25980.75,25834.35,25860.1,264351195.0,23554.69,,,,,,
17-Dec-2025,25902.4,25929.15,25770.35,25818.55,206521258.0,19787.57,,,,,,
18-Dec-2025,25764.7,25902.35,25726.3,25815.55,197553755.0,20046.07,,,,,,
19-Dec-2025,25911.5,25993.35,25880.45,25966.4,382927284.0,36600.58,,,,,,
22-Dec-2025,26055.85,26180.7,26047.8,26172.4,252990050.0,25333.26,,,,,,
23-Dec-2025,26205.2,26233.55,26119.05,26177.15,216553840.0,19670.5,,,,,,
24-Dec-2025,26170.65,26236.4,26123.0,26142.1,188846828.0,17474.44,,,,,,
26-Dec-2025,26121.25,26144.2,26008.6,26042.3,142243763.0,12263.06,,,,,,
29-Dec-2025,26063.35,26106.8,25920.3,25942.1,234312888.0,18184.45,,,,,,
30-Dec-2025,25940.9,25976.75,25878.0,25938.85,396893959.0,39492.31,,,,,,
31-Dec-2025,25971.05,26187.95,25969.0,26129.6,246314941.0,20703.99,,,,,,
01-Jan-2026,26173.3,26197.55,26113.4,26146.55,425631910.0,23454.66,,,,,,
02-Jan-2026,26155.1,26340.0,26118.4,26328.55,357547806.0,23770.13,,,,,,
05-Jan-2026,26333.7,26373.2,26210.05,26250.3,338777649.0,25742.83,,,,,,
06-Jan-2026,26189.7,26273.95,26124.75,26178.7,383040203.0,34567.52,,,,,,
07-Jan-2026,26143.1,26187.15,26067.9,26140.75,338216740.0,30232.63,,,,,,
08-Jan-2026,26106.5,26133.2,25858.45,25876.85,328520950.0,27556.32,,,,,,
09-Jan-2026,25840.4,25940.6,25623.0,25683.3,348757262.0,27486.64,,,,,,
12-Jan-2026,25669.05,25813.15,25473.4,25790.25,275757268.0,23874.45,,,,,,
13-Jan-2026,25897.35,25899.8,25603.3,25732.3,339536336.0,31434.03,,,,,,
14-Jan-2026,25648.55,25791.75,25603.95,25665.6,393126596.0,28944.88,,,,,,
16-Jan-2026,25696.05,25873.5,25662.4,25694.35,434041776.0,37156.05,,,,,,
19-Jan-2026,25653.1,25653.3,25494.35,25585.5,443087953.0,33632.38,,,,,,
20-Jan-2026,25580.3,25585.0,25171.35,25232.5,409772324.0,31020.36,,,,,,
21-Jan-2026,25141.0,25300.95,24919.8,25157.5,395624981.0,30984.61,,,,,,
22-Jan-2026,25344.15,25435.75,25168.5,25289.9,486395433.0,34583.24,,,,,,
23-Jan-2026,25344.6,25347.95,25025.3,25048.65,393944908.0,31844.65,,,,,,
27-Jan-2026,25063.35,25246.65,24932.55,25175.4,618696080.0,50989.25,,,,,,
28-Jan-2026,25258.85,25372.1,25187.65,25342.75,574903942.0,42364.52,,,,,,
29-Jan-2026,25345.0,25458.15,25159.8,25418.9,582389331.0,44306.95,,,,,,
30-Jan-2026,25247.55,25370.7,25213.65,25320.65,508388604.0,40772.08,,,,,,
01-Feb-2026,25333.75,25440.9,24571.75,24825.45,379370206.0,25572.6,,,,,,
02-Feb-2026,24796.5,25108.1,24679.4,25088.4,449215604.0,34038.26,,,,,,
03-Feb-2026,26308.05,26341.2,25641.3,25727.55,637263148.0,52338.39,,,,,,
04-Feb-2026,25675.05,25818.55,25563.95,25776.0,429788986.0,36899.12,,,,,,
05-Feb-2026,25755.9,25757.65,25579.5,25642.8,343812628.0,28582.32,,,,,,
06-Feb-2026,25605.8,25703.95,25491.9,25693.7,375476124.0,29777.45,,,,,,
09-Feb-2026,25888.7,25922.25,25780.9,25867.3,359386006.0,28449.55,,,,,,
10-Feb-2026,25922.65,25989.45,25870.45,25935.15,460878237.0,32795.1,,,,,,
11-Feb-2026,25997.45,26009.4,25899.8,25953.85,331389240.0,31456.05,,,,,,
12-Feb-2026,25906.7,25906.7,25752.4,25807.2,419388014.0,38977.68,,,,,,
13-Feb-2026,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0,0.0,,,,,,
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
,,,,,,,2026-02-13,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0
